Title,Year,Authors,Included_(Y=yes_N=No),Comments
Association between ambient air pollution and Parkinson's disease: Systematic review and meta-analysis,2019,"Hu, C.-Y.; Fang, Y.; Li, F.-L.; Dong, B.; Hua, X.-G.; Jiang, W.; Zhang, H.; Lyu, Y.; Zhang, X.-J.",N,"The article is a systematic review and meta-analysis, which does not meet the inclusion criteria for observational studies."
Association between exposure to air pollution and late-life neurodegenerative disorders: An umbrella review,2022,"Tan, L.; Nakanishi, E.; Lee, M.",N,The study is an umbrella review and does not present original observational data.
Association Between Exposure to Particulate Matter and the Incidence of Parkinson’s Disease: A Nationwide Cohort Study in Taiwan,2024,"Chen, T.-B.; Liang, C.-S.; Chang, C.-M.; Yang, C.-C.; Yu, H.-L.; Wu, Y.-S.; Huang, W.-J.; Tsai, I.-J.; Yan, Y.-H.; Wei, C.-Y.; Yang, C.-P.",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, thus does not meet inclusion criteria."
Association between PM2.5 exposure and risk of Parkinson's disease in individuals with chronic obstructive pulmonary disease in Taiwan: a nested case-control study,2023,"Luo, Ci-Wen; Kuan, Yu-Hsiang; Chen, Wen-Ying; Chen, Chun-Jung; Lin, Frank Cheau-Feng; Tsai, Stella Chin-Shaw",N,"The study focuses on PM2.5, which is not one of the specified air pollutants CO, O3, NO2 required for inclusion."
Association of elevated cerebrospinal fluid levels of the longevity protein α-Klotho with a delayed onset of cognitive impairment in Parkinson's disease patients,2024,"Zimmermann, M.; Fandrich, M.; Jakobi, M.; Röeben, B.; Wurster, I.; Lerche, S.; Schulte, C.; Zimmermann, S.; Deuschle, C.; Schneiderhan-Marra, N.; Gasser, T.; Brockmann, K.",N,No air pollutants mentioned focuses on cerebrospinal fluid and cognitive impairment in Parkinson's.
Association of exposure to manganese and iron with relaxation rates R1 and R2*- magnetic resonance imaging results from the WELDOX II study,2018,"Pesch, Beate; Dydak, Ulrike; Lotz, Anne; Casjens, Swaantje; Quetscher, Clara; Lehnert, Martin; Abramowski, Jessica; Stewig, Christoph; Yeh, Chien-Lin; Weiss, Tobias; van Thriel, Christoph; Herrmann, Lennard; Muhlack, Siegfried; Woitalla, Dirk; Glaubitz, Benjamin; Schmidt-Wilcke, Tobias; Brüning, Thomas",N,"The study focuses on manganese and iron, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Association of exposure to manganese and iron with striatal and thalamic GABA and other neurometabolites - Neuroimaging results from the WELDOX II study,2018,"Casjens, Swaantje; Dydak, Urike; Dharmadhikari, Shalmali; Lotz, Anne; Lehnert, Martin; Quetscher, Clara; Stewig, Christoph; Glaubitz, Benjamin; Schmidt-Wilcke, Tobias; Edmondson, David; Yeh, Chien-Lin; Weiss, Tobias; Thriel, Christoph van; Herrmann, Lennard; Muhlack, Siegfried; Woitalla, Dirk; Aschner, Michael; Brüning, Thomas; Pesch, Beate",N,"No mention of air pollutants CO, O3, NO2 or Parkinson's as an adverse health outcome related to air pollution."
Association of NO2and Other Air Pollution Exposures with the Risk of Parkinson Disease,2021,"Jo, S.; Kim, Y.-J.; Park, K.W.; Hwang, Y.S.; Lee, S.H.; Kim, B.J.; Chung, S.J.",Y,"The study investigates the association between NO2 and Parkinson's disease, meeting all inclusion criteria."
Association of vascular parkinsonism with impaired neuronal integrity in the striatum,2007,"Ihara, M.; Tomimoto, H.; Ishizu, K.; Yoshida, H.; Sawamoto, N.; Hashikawa, K.; Fukuyama, H.",N,"No air pollutants mentioned focuses on vascular parkinsonism without linking to CO, O3, or NO2."
Associations between long-term exposure to ambient air pollution and Parkinson's disease prevalence: A cross-sectional study,2020,"Salimi, F.; Hanigan, I.; Jalaludin, B.; Guo, Y.; Rolfe, M.; Heyworth, J.S.; Cowie, C.T.; Knibbs, L.D.; Cope, M.; Marks, G.B.; Morgan, G.G.",N,"Study mentions PM instead of required pollutants CO, O3 and does not link Parkinson's to them."
Associations of ambient particulate matter and nitrogen dioxide with hospital admissions for Parkinson's disease: A nationwide case-crossover study in China,2025,"Bai, L.; Jiang, Y.; Zhang, K.; Su, H.; Sun, S.; Deng, F.; Baccarelli, A.A.; Shi, X.; Guo, X.; Wu, S.",N,"Study focuses on particulate matter, not the specified air pollutants CO, O3, NO2 as primary pollutants of interest."
"Associations of long-term exposure to low-level PM(2.5) and brain disorders in 260,922 middle-aged and older adults",2024,"Qiang, Ne; Bao, Yujia; Li, Yongxuan; Zhang, Na; Zhou, Yanqiu; Deng, Xiaobei; Han, Lefei; Ran, Jinjun",N,"The study focuses on PM2.5 and does not mention CO, O3, or NO2, nor does it establish a clear link between air pollution and Parkinson's."
Associations of ozone and PM2.5 concentrations with Parkinson's disease among participants in the agricultural health study,2015,"Kirrane, E.F.; Bowman, C.; Davis, J.A.; Hoppin, J.A.; Blair, A.; Chen, H.; Patel, M.M.; Sandler, D.P.; Tanner, C.M.; Vinikoor-Imler, L.; Ward, M.H.; Luben, T.J.; Kamel, F.",N,"Study mentions PM2.5 instead of the required pollutants CO, O3, NO2 and does not link them to Parkinson's."
Astaxanthin as a Putative Geroprotector: Molecular Basis and Focus on Brain Aging,2020,"Sorrenti, V.; Davinelli, S.; Scapagnini, G.; Willcox, B.J.; Allsopp, R.C.; Willcox, D.C.",N,"The article does not mention any air pollutants or Parkinson's disease, focusing instead on astaxanthin and brain aging."
Astaxanthin Suppresses PM2.5-Induced Neuroinflammation by Regulating Akt Phosphorylation in BV-2 Microglial Cells,2020,"Kim, Ryeong-Eun; Shin, Chan Young; Han, Seol-Heui; Kwon, Kyoung Ja",N,"The study focuses on PM2.5, not the specified air pollutants CO, O3, NO2, and does not meet inclusion criteria."
Astroglia overexpressing heme oxygenase-1 predispose co-cultured PC12 cells to oxidative injury,2007,"Song, L.; Song, W.; Schipper, H.M.",N,Does not meet inclusion criteria it focuses on cellular mechanisms and does not present observational data on human populations.
"Atomic-Scale Structure of the Hematite α-Fe(2)O(3)(11̅02) ""R-Cut"" Surface",2018,"Kraushofer, Florian; Jakub, Zdenek; Bichler, Magdalena; Hulva, Jan; Drmota, Peter; Weinold, Michael; Schmid, Michael; Setvin, Martin; Diebold, Ulrike; Blaha, Peter; Parkinson, Gareth S.",N,The article does not mention any air pollutants or Parkinson's disease.
Atypical parkinsonism and motor neuron syndrome in a biosphere 2 participant: A possible complication of chronic hypoxia and carbon monoxide toxicity?,2004,"Lassinger, B.K.; Kwak, C.; Walford, R.L.; Jankovic, J.",Y,The study mentions carbon monoxide and discusses Parkinsonism as a health outcome related to air pollution.
Autophagic flux and oxidative capacity of skeletal muscles during acute starvation,2013,"Mofarrahi, M.; Guo, Y.; Haspel, J.A.; Choi, A.M.K.; Davis, E.C.; Gouspillou, G.; Hepple, R.T.; Godin, R.; Burelle, Y.; Hussain, S.N.A.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Autophagy and ethanol neurotoxicity,2014,"Luo, Jia",N,The study focuses on ethanol neurotoxicity and does not mention air pollutants or Parkinson's disease.
Basal ganglia lesions in children and adults,2013,"Bekiesińska-Figatowska, M.; Mierzewska, H.; Jurkiewicz, E.",N,The article does not mention air pollutants or Parkinson's as an adverse health outcome.
Basal ganglia neurotoxins,2000,"Albin, R.L.",N,"No air pollutants mentioned focuses on neurotoxins and animal models, not human observational studies."
Beneficial and detrimental actions of free radicals: A review,2010,"Seshadri Reddy, V.; Suchitra, M.M.; Reddy, Y.M.; Reddy Prabhakar, E.",N,The article is a review and does not mention Parkinson's or any specified air pollutants.
Bicarbonate enhances α-synuclein oligomerization and nitration: Intermediacy of carbonate radical anion and nitrogen dioxide radical,2004,"Andrekopoulos, C.; Zhang, H.; Joseph, J.; Kalivendi, S.; Kalyanaraman, B.",N,The study does not investigate Parkinson's as an adverse health outcome related to air pollutants.
Biomass fuel induces neuroinflammation and neurodegeneration via the astrocyte-microglia IL-17A/IL-17RA pathway,2025,"Liang, Fengchu; Xu, Zongtang; Ding, Liuyan; Zhu, Ziting; Chen, Minshan; Shu, Hui; Huang, Xingting; Su, Zhongqiang; Wang, Xiaobei; Xiao, Yousheng; Huang, Shuxuan; Mai, Dongmei; Yi, Erkang; Xu, Pingyi; Zhang, Wenlong",N,"No air pollutants CO, O3, NO2 mentioned only discusses biomass fuel and particulate matter."
Blood-brain barrier permeability imaging using perfusion computed tomography,2015,"Avsenik, J.; Bisdas, S.; Šurlan-Popovič, K.S.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on blood-brain barrier imaging."
Brain Disorders and Chemical Pollutants: A Gap Junction Link?,2020,"Mesnil, Marc; Defamie, Norah; Naus, Christian; Sarrouilhe, Denis",N,"No specific air pollutants CO, O3, NO2 are mentioned focus is on other pollutants and gap junctions."
"Brain immune interactions and air pollution: macrophage inhibitory factor (MIF), prion cellular protein (PrP(C)), Interleukin-6 (IL-6), interleukin 1 receptor antagonist (IL-1Ra), and interleukin-2 (IL-2) in cerebrospinal fluid and MIF in serum differentiate urban children exposed to severe vs. low air pollution",2013,"Calderón-Garcidueñas, Lilian; Cross, Janet V.; Franco-Lira, Maricela; Aragón-Flores, Mariana; Kavanaugh, Michael; Torres-Jardón, Ricardo; Chao, Chih-Kai; Thompson, Charles; Chang, Jing; Zhu, Hongtu; D'Angiulli, Amedeo",N,"No specific mention of CO, O3, or NO2 as air pollutants focuses on cytokines and immune responses."
Brain iron accumulation in neurodegenerative disorders: Does air pollution play a role?,2025,"George, Jithin V.; Hornburg, Kathryn J.; Merrill, Alyssa; Marvin, Elena; Conrad, Katherine; Welle, Kevin; Gelein, Robert; Chalupa, David; Graham, Uschi; Oberdörster, Günter; Johnson, G. Allan; Cory-Slechta, Deborah A.; Sobolewski, Marissa",N,No specific mention of Parkinson's disease as an adverse health outcome related to air pollution.
Brain Iron Deposition in Aging and Disease: Role of HO-1,2010,"Schipper, H.M.",N,"No air pollutants mentioned focuses on iron deposition and neurodegenerative diseases without linking to CO, O3, or NO2."
"Brain, learning, and memory: Role of H2S in neurodegenerative diseases",2015,"Nagpure, B.V.; Bian, J.-S.",N,"The study focuses on hydrogen sulfide, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023",2025,,N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
Cadmium cyclam complexes: interconversion of cis and trans configurations and fixation of CO(2),2002,"Liang, Xiangyang; Parkinson, John A.; Parsons, Simon; Weishäupl, Michael; Sadler, Peter J.",N,The article does not mention any air pollutants or Parkinson's disease.
Callosal damage and cognitive deficits in chronic carbon monoxide intoxication: A diffusion tensor imaging study,2015,"Chen, P.-C.; Chen, M.-H.; Chen, H.-L.; Lu, C.-H.; Chou, K.-H.; Wu, R.-W.; Tsai, N.-W.; Lin, C.-P.; Li, S.-H.; Chen, Y.-W.; Cheng, Y.-F.; Lin, W.-C.",N,"The study focuses on cognitive deficits from CO intoxication, not explicitly linking Parkinson's as an adverse health outcome."
Carbidopa,2025,"Leyden, Emily; Tadi, Prasanna",N,"The article focuses on a medication for Parkinson's, not on observational studies related to air pollutants."
Carbon monoxide ameliorates 6-hydroxydopamine-induced cell death in C6 glioma cells,2018,"Moon, H.; Jang, J.-H.; Jang, T.C.; Park, G.H.",N,"The study is experimental, focusing on cell death in glioma cells, not observational research on human populations."
Carbon monoxide and the CNS: Challenges and achievements,2015,"Queiroga, C.S.F.; Vercelli, A.; Vieira, H.L.A.",N,The article is a review and does not focus on observational studies of human populations.
"Carbon monoxide brain toxicity: Clinical, magnetic resonance imaging, magnetic resonance spectroscopy, and neuropsychological effects in 9 people",2005,"Prockop, L.D.",N,The study focuses on CO toxicity but does not explicitly link Parkinson's as an adverse health outcome related to air pollution.
Carbon monoxide intoxication,2015,"Bleecker, M.L.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to CO exposure.
Carbon monoxide poisoning,2020,"Weaver, L.K.",N,The study focuses on carbon monoxide poisoning and does not explicitly link Parkinson's as an adverse health outcome.
Carbon Monoxide Poisoning (Reprinted from the 2023 Hyperbaric Indications Manual 15th edition),2024,"Weaver, L.K.",N,The study focuses on CO poisoning and does not explicitly link Parkinson's as an adverse health outcome related to air pollution.
Carbon monoxide poisoning-induced nigrostriatal dopaminergic dysfunction detected using positron emission tomography (PET),2010,"Rissanen, E.; Paavilainen, T.; Virta, J.; Marttila, R.J.; Rinne, J.O.; Airas, L.",N,"The study is a case report, not an observational study, and does not meet the inclusion criteria."
"Carbon monoxide poisoning: A five-year review at Tan Tock Seng Hospital, Singapore",2005,"Handa, P.K.; Tai, D.Y.H.",Y,The study mentions carbon monoxide and includes parkinsonism as a long-term complication related to CO exposure.
"Carbon monoxide poisoning: beyond survival - mortality, morbidities, and risk factors, a Turkey sample",2023,"Oz, E.; Küçükkelepçe, O.; Kurt, O.; Vural, A.",N,"The study focuses on carbon monoxide poisoning and mortality, not on Parkinson's as an adverse health outcome."
Carbon monoxide poisoning: systemic manifestations and complications,2001,"Choi, I. S.",Y,The study mentions carbon monoxide and discusses parkinsonism as a neurological complication related to CO poisoning.
Carbon monoxide-induced adatom sintering in a Pd-Fe3O4 model catalyst,2013,"Parkinson, Gareth S.; Novotny, Zbynek; Argentero, Giacomo; Schmid, Michael; Pavelec, Jiří; Kosak, Rukan; Blaha, Peter; Diebold, Ulrike",N,The study does not mention Parkinson's or link it to air pollutants.
Carbon monoxide-induced Parkinsonism,1972,"Ringel, S.P.; Klawans, H.L.",N,"The article is a review, not an observational study, and does not meet the inclusion criteria."
"Carbon monoxide: The bad and the good side of the coin, from neuronal death to anti-inflammatory activity",2006,"Mannaioni, P.F.; Vannacci, A.; Masini, E.",N,The study is a review and does not focus on observational data related to Parkinson's and air pollution.
"Cardiovascular damage, arrhythmogenesis and overlapping Alzheimer and Parkinson's diseases and TDP-43 pathology start in pediatric and young adult urban populations: Magnetic ultrafine particulate matter and industrial particles with motion behavior play a key role",2025,"Calderón-Garcidueñas, L.; Cejudo, F.R.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Ramos-Morales, A.; Pérez-Guillé, B.E.; Soriano-Rosales, R.E.; Torres-Jardón, R.",N,"No mention of specified air pollutants CO, O3, NO2 and focuses on ultrafine particulate matter instead."
